url	imdb_url	Title	Year
/wiki/Cocoon_(film)	tt0088933	Cocoon	1985
/wiki/Cold_Mountain_(film)	tt0159365	Cold Mountain	2003
/wiki/The_Color_of_Money	tt0090863	The Color of Money	1986
/wiki/Come_and_Get_It_(film)	tt0027459	Come and Get It	1936
/wiki/Come_Back,_Little_Sheba_(1952_film)	tt0044509	Come Back, Little Sheba	1952
/wiki/Coming_Home_(1978_film)	tt0077362	Coming Home	1978
/wiki/Common_Threads:_Stories_from_the_Quilt	tt0097099	Common Threads: Stories from the Quilt	1990
/wiki/The_Constant_Gardener_(film)	tt0387131	The Constant Gardener	2005
/wiki/Cool_Hand_Luke	tt0061512	Cool Hand Luke	1967
/wiki/Coquette_(film)	tt0019788	Coquette	1929
/wiki/The_Counterfeiters_(film)	tt0813547	The Counterfeiters	2007
/wiki/The_Country_Cousin	tt0027468	The Country Cousin	1936
/wiki/The_Country_Girl_(1954_film)	tt0046874	The Country Girl	1954
/wiki/The_Cove_(film)	tt1313104	The Cove	2009
/wiki/Cover_Girl_(film)	tt0036723	Cover Girl	1944
/wiki/The_Cowboy_and_the_Lady_(1938_film)	tt0030018	The Cowboy and the Lady	1938
/wiki/Crac	tt0082209	Crac	1981
/wiki/Crash_(2004_film)	tt0375679	Crash	2004
/wiki/Crash_Dive	tt0035763	Crash Dive	1943
/wiki/Crashing_the_Water_Barrier	tt0049102	Crashing the Water Barrier	1956
/wiki/Crazy_Heart	tt1263670	Crazy Heart	2009
/wiki/Creature_Comforts	tt0099317	Creature Comforts	1989
/wiki/Cries_and_Whispers	tt0069467	Cries & Whispers	1972
/wiki/The_Critic_(cartoon)	tt0056965	The Critic	1963
/wiki/Cromwell_(film)	tt0065593	Cromwell	1970
/wiki/Crouching_Tiger,_Hidden_Dragon	tt0190332	Crouching Tiger, Hidden Dragon	2000
/wiki/The_Crunch_Bird	tt0066959	The Crunch Bird	1971
/wiki/The_Crying_Game	tt0104036	The Crying Game	1992
/wiki/Curfew_(2012_film)	tt2088735	Curfew	2012
/wiki/The_Curious_Case_of_Benjamin_Button_(film)	tt0421715	The Curious Case of Benjamin Button	2008
/wiki/Cyrano_de_Bergerac_(1950_film)	tt0042367	Cyrano de Bergerac	1950
/wiki/Cyrano_de_Bergerac_(1990_film)	tt0099334	Cyrano de Bergerac	1990
/wiki/Czechoslovakia_1968	tt0064200	Czechoslovakia 1918-1968	1969
/wiki/A_Damsel_in_Distress_(film)	tt0028757	A Damsel in Distress	1937
/wiki/Dances_with_Wolves	tt0099348	Dances with Wolves	1990
/wiki/Dangerous_(film)	tt0026261	Dangerous	1935
/wiki/Dangerous_Liaisons	tt0094947	Dangerous Liaisons	1988
/wiki/Dangerous_Moves	tt0087144	Dangerous Moves	1984
/wiki/The_Danish_Poet	tt0933357	The Danish Poet	2006
/wiki/The_Dark_Angel_(1935_film)	tt0026264	The Dark Angel	1935
/wiki/The_Dark_Knight_(film)	tt0468569	The Dark Knight	2008
/wiki/Darling_(1965_film)	tt0059084	Darling	1965
/wiki/The_Dawn_Patrol_(1930_film)	tt0020815	The Dawn Patrol	1930
/wiki/Day_for_Night_(film)	tt0070460	Day for Night	1973
/wiki/Day_of_the_Painter	tt0053753	Day of the Painter	1960
/wiki/Daybreak_in_Udi	tt0041283	Daybreak in Udi	1950
/wiki/Days_of_Heaven	tt0077405	Days of Heaven	1978
/wiki/Days_of_Waiting	tt0099372	Days of Waiting	1991
/wiki/Days_of_Wine_and_Roses_(film)	tt0055895	Days of Wine and Roses	1962
/wiki/Dead_Man_Walking_(film)	tt0112818	Dead Man Walking	1995
/wiki/Dead_Poets_Society	tt0097165	Dead Poets Society	1989
/wiki/Deadly_Deception:_General_Electric,_Nuclear_Weapons_and_Our_Environment	tt0101683	Deadly Deception: General Electric, Nuclear Weapons and Our Environment	1991
/wiki/Dear_Diary_(1996_film)	tt0116058	Dear Diary	1996
/wiki/Death_Becomes_Her	tt0104070	Death Becomes Her	1992
/wiki/Death_on_the_Nile_(1978_film)	tt0077413	Death on the Nile	1978
/wiki/December_7th_(film)	tt0035790	December 7th	1943
/wiki/Declaration_of_Independence_(film)	tt0030046	The Declaration of Independence	1938
/wiki/The_Deer_Hunter	tt0077416	The Deer Hunter	1978
/wiki/Defending_Our_Lives	tt0106694	Defending Our Lives	1994
/wiki/The_Defiant_Ones	tt0051525	The Defiant Ones	1958
/wiki/The_Departed	tt0407887	The Departed	2006
/wiki/Departures_(film)	tt1069238	Departures	2008
/wiki/Der_Fuehrer%27s_Face	tt0035794	Der Fuehrer's Face	1942
/wiki/Dersu_Uzala_(1975_film)	tt0071411	Dersu Uzala	1975
/wiki/The_Descendants_(film)	tt1033575	The Descendants	2011
/wiki/Desert_Victory	tt0035796	Desert Victory	1943
/wiki/Design_for_Death	tt0040285	Design for Death	1947
